model,nodes,edges,degree,cl_coef,avg_path_len,diameter,density
Base model,607213,253154,0.8338,0.1148,8.3667,17,3.88e-06
Synonyms,610212,263804,0.8646,0.1168,7.5333,17,3.88e-06
Context,697068,410371,1.1774,0.1423,1.9333,3,2.75e-06
TF-bins_2,607213,268100,0.8831,0.1021,6.8333,13,7.58e-06
TF-bins_3,607213,270359,0.8905,0.1011,6.7667,13,7.65e-06
TF-bins_4,607213,272649,0.8980,0.0999,7.0333,14,7.60e-06
TF-bins_5,607213,274698,0.9048,0.0996,6.7000,16,7.73e-06
TF-bins_6,607213,276615,0.9111,0.1029,8.3000,18,7.69e-06
TF-bins_7,607213,278087,0.9159,0.1010,5.9333,14,7.82e-06
TF-bins_8,607213,279356,0.9201,0.1034,6.6000,14,7.83e-06
TF-bins_9,607213,280524,0.9240,0.0994,6.8667,11,7.84e-06
TF-bins_10,607213,281642,0.9277,0.1014,6.9000,14,7.86e-06
